/ && GET,^/product/[0-9][[:alnum:]]*$ && GET,,,,avg,
4011.5745874587456,1881.5261410379999,2236.681222707424,59.13521568627458,1888.2754103843254,2387.363036413327,
4009.2537953795377,1895.5663549334433,2236.681222707424,56.31628758169941,1899.3942011328609,2395.2691693805373,
4007.0082508250825,1908.4083953973086,2236.681222707424,53.58875816993464,1909.7104806022003,2402.5505981323463,
4004.7270627062708,1920.7658130798472,2236.681222707424,50.81793464052303,1919.7722570902333,2409.6027992481486,
4002.43102310231,1932.5572848478146,2236.681222707424,48.73670310813802,1929.498964732457,2416.3740766763426,
4051.8173454008775,1752.9021959309025,2326.0978373933067,43.50153384712691,1793.4669704831008,2334.6918844451575,
3439.6997027396055,1489.427966747213,2392.6588322835014,4.822426233785294,1500.7988654444334,2262.4437147911103,
3414.4692280547415,1497.8601804282093,2393.8283806205836,4.818111616448741,1510.4243744905002,2266.319618199861,
3389.9654945678394,1507.1505310318591,2394.991761716251,4.81401975712963,1519.6213286618504,2270.031999661368,
3366.2814850709738,1515.9514900561421,2396.1035659351546,4.810153843870365,1528.3722843650644,2273.6297004621993,
3342.992378145747,1524.4395097204997,2397.184900197958,4.806434937868076,1536.8477688688026,2276.84145928379,
3345.2799658057043,1382.8117679329305,2368.6426602554,4.792325744891132,1442.8627097091767,2234.861286974914,
2496.1002993822235,987.0198276835097,2210.1923788107442,6.7666666666666675,982.7979858005193,2040.7959774790345,
2487.45503102335,985.6009215410215,2140.731170213794,6.7666666666666675,981.175290623089,1969.695847230822,
2423.7620879095275,985.1984819219837,2118.808093534454,6.7666666666666675,980.5882352941178,1964.7218453188605,
2402.703519066883,985.1686135190023,2117.8101589768457,6.7666666666666675,980.5882352941178,1964.7218453188605,
2400.954515948458,985.1612903225807,2117.343248169903,6.7666666666666675,980.5882352941178,1964.7218453188605,
2399.5,985.1612903225807,2116.820514361384,6.7666666666666675,980.5882352941178,1964.7218453188605,
2330.116279069768,951.3633447915618,1552.3170538333482,8.867647058823525,930.21978021978,1772.8310502283107,
2353.4722222222217,948.4829712223108,1474.802934341824,9.499999999999995,942.8571428571427,1816.7431192660558,
2353.4722222222217,947.6556075623894,1474.358974358975,9.499999999999995,942.8571428571427,1816.7431192660558,
2353.4722222222217,947.5308641975308,1474.358974358975,9.499999999999995,942.8571428571427,1816.7431192660558,
2353.4722222222217,947.5308641975308,1474.358974358975,9.499999999999995,942.8571428571427,1816.7431192660558,
2353.4722222222217,947.5308641975308,1474.358974358975,9.499999999999995,942.8571428571427,1816.7431192660558,
2461.3821138211383,974.0740740740744,1522.8571428571424,9.537037037037042,991.9047619047619,1893.589743589744,
3108.6956521739135,992.727272727273,1593.9393939393935,8.71739130434782,1054.1666666666663,1994.3820224719102,
3108.695652173912,992.727272727273,1593.9393939393954,8.717391304347831,1054.1666666666663,1994.3820224719102,
3108.695652173912,992.727272727273,1593.9393939393954,8.717391304347831,1054.1666666666663,1994.3820224719102,
3108.695652173912,992.727272727273,1593.9393939393954,8.717391304347831,1054.1666666666663,1994.3820224719102,
3315.891921722025,1139.9272017678304,1668.4660472289095,8.243287980943926,1140.24541166581,2033.0161735719323,
3295.185873570761,1141.3658673459013,1661.4801179754752,8.172936433508326,1130.0637372124454,2028.1317212114172,
3270.309052358648,1033.2468353768782,1458.8024110819345,5.155521498613989,1042.4120333974902,1937.5821134314128,
3248.0020388975163,1037.4672719235587,1453.6723981592243,5.101640930532598,1032.9016632752373,1933.562325287055,
3226.303601446746,1041.439159185488,1448.7767884317257,5.049442209911205,1023.8942511897247,1929.7543357281504,
3204.621146117309,1045.282977542853,1443.9752183402077,4.9998241339741565,1015.1240348597196,1926.0458859101404,
3183.525671828415,1048.9185266263726,1439.3880349428127,4.99632839519621,1006.8041269312471,1922.5271743168191,
3157.7349354553844,1058.6693867665276,1478.221054011724,5.206558071853418,1067.9780676032824,1941.1256877966348,
2479.4428947834317,967.0949238423673,1348.281259712006,5.957198724505146,958.991476064768,1844.2502873251547,
2371.0673606407117,889.5895767124825,1155.7277927454134,5.959503625778768,925.3195360601163,1655.9041605497403,
2331.4740150303924,889.5505701305166,1157.894736842106,5.61999999999999,900.6730703227388,1654.9913941480206,
2310.013074113335,889.5105843949507,1157.894736842108,5.620000000000001,897.752808988764,1654.9913941480213,
2309.3350383631714,889.4723238698969,1157.894736842108,5.620000000000001,897.752808988764,1654.9913941480213,
2258.8318170953908,895.541401273885,1273.5294117647045,7.038461538461532,913.855421686747,1561.6727941176473,
2155.991993995497,952.7472527472527,1580.3846153846148,8.666666666666659,995.2380952380952,1545.3038674033155,
2008.1309962580544,1017.1874999999994,1784.2592592592596,8.807692307692312,1199.0909090909108,1507.9925650557623,
1983.7925780696373,1017.1874999999994,1784.2592592592596,8.807692307692312,1199.0909090909108,1507.9925650557623,
1982.000000000001,1017.1874999999994,1784.2592592592596,8.807692307692312,1199.0909090909108,1507.9925650557623,
1982.000000000001,1017.1874999999994,1784.2592592592596,8.807692307692312,1199.0909090909108,1507.9925650557623,
1872.7775025113237,1084.6534653465353,1753.6809815950921,10.112500000000018,1158.3333333333344,1295.8598726114647,
1815.8354750845915,1084.6534653465353,1753.6809815950921,10.112500000000018,1158.3333333333344,1295.8598726114647,
1234.6378012883683,1226.3157894736833,1668.0124223602475,9.921874999999988,1205.5555555555566,1092.523364485981,
923.8193257746362,1313.4146341463422,1644.230769230769,12.187500000000012,1190.9090909090903,971.3316892725031,
914.1355566050911,1313.4146341463422,1644.230769230769,12.187500000000012,1190.9090909090903,971.3316892725031,
907.4154173141535,1313.4146341463422,1644.230769230769,12.187500000000012,1190.9090909090903,971.3316892725031,
883.1204941583487,1181.5789473684201,1516.304347826087,17.80555555555557,1104.7169811320753,928.3357245337163,
