unknown,avg
1198.8400990098912,1198.8400990098912
1153.7345716478173,1153.7345716478173
1099.6692416107282,1099.6692416107282
1164.7240327684017,1164.7240327684017
1163.5120805369527,1163.5120805369527
1184.4368581905103,1184.4368581905103
1248.8069060773807,1248.8069060773807
1244.9674863388302,1244.9674863388302
1239.4656424581335,1239.4656424581335
1223.659016393475,1223.659016393475
1540.2906740114065,1540.2906740114065
1450.4037439613815,1450.4037439613815
1446.2161870503883,1446.2161870503883
1343.749896480356,1343.749896480356
1294.4149789029786,1294.4149789029786
1276.9651452282405,1276.9651452282405
1287.6709251101586,1287.6709251101586
1302.0625565611067,1302.0625565611067
1065.771767241373,1065.771767241373
1128.6093681917146,1128.6093681917146
1133.5799116997725,1133.5799116997725
1366.0244047618903,1366.0244047618903
1661.5317745803216,1661.5317745803216
1664.098135964899,1664.098135964899
1569.172759226703,1569.172759226703
1563.6648116438305,1563.6648116438305
1436.6341576506863,1436.6341576506863
1388.6682228915574,1388.6682228915574
1388.6682228915574,1388.6682228915574
1451.4377567140555,1451.4377567140555
1319.4537313432788,1319.4537313432788
1328.0638503572882,1328.0638503572882
1309.3296070344318,1309.3296070344318
1280.2904074702833,1280.2904074702833
1393.1446050096279,1393.1446050096279
1723.9442375886472,1723.9442375886472
1723.9442375886472,1723.9442375886472
1992.4184732824335,1992.4184732824335
1852.3769830028202,1852.3769830028202
1837.3958695652045,1837.3958695652045
1792.798481919033,1792.798481919033
1833.6196092619268,1833.6196092619268
1842.714620689647,1842.714620689647
2391.3505617977444,2391.3505617977444
2357.7264746227625,2357.7264746227625
2107.4059487951763,2107.4059487951763
2096.0692737430127,2096.0692737430127
2227.9682566893584,2227.9682566893584
2439.3108530311997,2439.3108530311997
2507.410104205383,2507.410104205383
2826.0967106800704,2826.0967106800704
2044.506845073847,2044.506845073847
2232.8189254674107,2232.8189254674107
2002.4379947813227,2002.4379947813227
1865.519800492603,1865.519800492603
2048.6315798011187,2048.6315798011187
2046.50039325842,2046.50039325842
2008.3615044247754,2008.3615044247754
1552.2241952232541,1552.2241952232541
2039.7023162192943,2039.7023162192943
1859.6734714509548,1859.6734714509548
2484.496724959998,2484.496724959998
2483.853211648147,2483.853211648147
2343.345374193194,2343.345374193194
2877.1302933920892,2877.1302933920892
2790.7490092292755,2790.7490092292755
3308.5282464846937,3308.5282464846937
3107.409068627447,3107.409068627447
3012.676537216824,3012.676537216824
2636.285004074975,2636.285004074975
2654.7536095159944,2654.7536095159944
2695.3363779527517,2695.3363779527517
2137.6831699346358,2137.6831699346358
2202.0484188034166,2202.0484188034166
1850.0448168007126,1850.0448168007126
1967.0865913555965,1967.0865913555965
