/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg
797.1583054902255,743.412666796695,899.2613317115463,740.8423940309103,4.576928545573637,689.6391755994845,
834.5161244988591,802.2213690464665,917.4159135209402,782.4058710498451,4.594048638399899,734.577011176504,
861.9122257053298,830.0962714718115,939.3645195978172,810.8577372269314,4.613114754098361,762.8435517970406,
875.496688741722,849.3332074815611,960.3172460609014,826.6277743428304,4.64514435695538,782.2984749455339,
884.090909090909,853.4783775793069,949.6874568736631,816.3401028475847,4.638630377524144,776.9009216589853,
892.3609559973199,867.9216524646707,945.272079555461,804.4339851437775,4.635433687744825,776.654780476933,
872.284644194757,877.9569892473107,950.2519915118651,807.3269748537039,4.625760286225402,764.9367088607585,
869.5918367346947,869.7222222222215,933.0317743789719,819.6991469120474,4.621090259159964,754.3766578249325,
883.9583333333338,870.833333333333,924.311931796587,816.914064940245,4.620633484162895,751.4747191011231,
920.4641350210975,851.5625000000005,916.3552575415011,812.5369718749906,4.601450589301904,753.2023289665208,
945.8677685950413,802.1276595744704,869.8851465252646,760.2375987374385,4.60508166969147,728.2110091743123,
923.9583333333333,807.0921985815611,871.5692681129719,761.8371492855424,4.601808318264015,720.8141321044552,
892.708333333334,830.0699300699314,881.3062557797593,777.0259607929372,4.602480070859167,719.3129770992364,
873.5416666666677,864.6853146853153,925.776552533104,811.0169084929954,4.620848056537103,737.2713414634138,
860.0285047939878,917.7705627705614,957.6363223024516,840.132818687471,4.621219458507593,759.2480348517831,
856.1224489795918,911.7647058823525,950.6096173824797,828.9700123913423,4.615127528583992,750.9132420091303,
857.7519379844967,894.1176470588233,945.3633790352228,799.497056910312,4.597147950089127,735.725677830941,
835.2589641434262,896.2184873949561,926.7135351981988,801.4860204338554,4.5946808510638295,722.3726114649687,
772.8174603174602,885.5371900826431,927.8632403023671,802.139979520239,4.598260869565218,694.6372239747635,
778.4351145038172,888.1147540983588,914.1171568329507,807.0519536733998,4.5863874345549736,693.5736677115987,
803.053435114504,911.2499999999991,935.5616339475539,813.2863521178613,4.561391304347827,706.6343042071176,
800.7782101167318,914.1592920353976,927.5570499147657,813.3588379703986,4.543701129452652,696.7171717171702,
811.8867924528304,896.6019417475716,928.6421188173535,799.1707389980957,4.52362685265911,681.3285457809684,
836.5384615384614,907.8431372549014,902.9729036462304,784.2684099818923,4.525834797891037,687.3636363636351,
865.234375,917.9999999999991,894.7588074600912,795.9680798217005,4.506049822064057,701.9372693726939,
