/ && GET,avg
411.53846153846183,411.53846153846183
498.0769230769233,498.0769230769233
464.5833333333326,464.5833333333326
326.24999999999983,326.24999999999983
248.4482758620688,248.4482758620688
209.81132075471717,209.81132075471717
209.81132075471717,209.81132075471717
183.1000000000001,183.1000000000001
157.90697674418607,157.90697674418607
160.5172413793104,160.5172413793104
189.25,189.25
200.0,200.0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2000.0,2000.0
2091.6666666666665,2091.6666666666665
2018.152281485261,2018.152281485261
2000.9828458674524,2000.9828458674524
1920.573818539356,1920.573818539356
1711.3396191548227,1711.3396191548227
1569.6751391391533,1569.6751391391533
1335.8560109356338,1335.8560109356338
1155.1955868226046,1155.1955868226046
988.0627437659793,988.0627437659793
967.4558654991517,967.4558654991517
939.7353022075511,939.7353022075511
928.9013363667003,928.9013363667003
918.7734940121537,918.7734940121537
892.6712572741758,892.6712572741758
873.0920129036798,873.0920129036798
843.3357734573856,843.3357734573856
833.5909060882848,833.5909060882848
842.521928793288,842.521928793288
847.1581370080313,847.1581370080313
893.7022902102822,893.7022902102822
893.4422747277667,893.4422747277667
887.5564585904317,887.5564585904317
871.6696567291638,871.6696567291638
865.1970476348172,865.1970476348172
864.7545233446288,864.7545233446288
867.3950228776171,867.3950228776171
874.0006949686041,874.0006949686041
876.4111310020072,876.4111310020072
872.9728056059248,872.9728056059248
858.2955780344122,858.2955780344122
856.9335742027906,856.9335742027906
858.2425152672693,858.2425152672693
863.5931232094665,863.5931232094665
867.243753734738,867.243753734738
864.1179093068409,864.1179093068409
861.9942365451645,861.9942365451645
856.8263202930174,856.8263202930174
851.5907940605135,851.5907940605135
841.382772626486,841.382772626486
824.1227187812369,824.1227187812369
804.9687975750594,804.9687975750594
783.8321830874111,783.8321830874111
762.7228765156956,762.7228765156956
747.8103895756694,747.8103895756694
717.899121015115,717.899121015115
708.7720142361618,708.7720142361618
705.7375435868827,705.7375435868827
702.5174092991012,702.5174092991012
701.2887482540425,701.2887482540425
696.1757619828302,696.1757619828302
695.1090248842006,695.1090248842006
692.5863377263926,692.5863377263926
697.1991051682228,697.1991051682228
745.7613668941151,745.7613668941151
766.5891019308733,766.5891019308733
761.0804781975985,761.0804781975985
723.1308109655913,723.1308109655913
679.1049870961016,679.1049870961016
571.2218172497406,571.2218172497406
530.3330835102919,530.3330835102919
524.1885285621561,524.1885285621561
499.3287879731321,499.3287879731321
495.80484071079786,495.80484071079786
470.55878151783213,470.55878151783213
464.56913386429767,464.56913386429767
442.88194712112755,442.88194712112755
439.7114040926499,439.7114040926499
448.920975994999,448.920975994999
446.8138036251029,446.8138036251029
425.3202845129251,425.3202845129251
402.16984385443516,402.16984385443516
398.16765512105223,398.16765512105223
373.76249836124987,373.76249836124987
362.9311882159828,362.9311882159828
341.19402346830907,341.19402346830907
329.6905396195805,329.6905396195805
327.6433374423757,327.6433374423757
327.872895463744,327.872895463744
330.07981608301657,330.07981608301657
320.295947542433,320.295947542433
319.00338496270484,319.00338496270484
329.97851230972896,329.97851230972896
343.66795552839926,343.66795552839926
356.11627927216546,356.11627927216546
356.0921794425102,356.0921794425102
374.548420804871,374.548420804871
380.01203059059196,380.01203059059196
381.2118284484216,381.2118284484216
372.86591692689,372.86591692689
378.383687298777,378.383687298777
378.84491042358934,378.84491042358934
363.87999769536907,363.87999769536907
336.92729304041586,336.92729304041586
314.4697473864382,314.4697473864382
298.3967108634716,298.3967108634716
296.4703727592125,296.4703727592125
292.57046851033226,292.57046851033226
279.1931102514925,279.1931102514925
273.9064292933055,273.9064292933055
270.37242308343053,270.37242308343053
299.9657760588184,299.9657760588184
346.02956271322654,346.02956271322654
359.2440796328918,359.2440796328918
358.85011642496414,358.85011642496414
353.0808308345859,353.0808308345859
345.53124016871743,345.53124016871743
307.95598684210614,307.95598684210614
297.7790150952745,297.7790150952745
305.1136369090474,305.1136369090474
306.99565101833724,306.99565101833724
305.17460365710406,305.17460365710406
311.9760447602489,311.9760447602489
321.8615111984577,321.8615111984577
375.54581406264793,375.54581406264793
374.6702902373024,374.6702902373024
371.9031313672138,371.9031313672138
351.5625,351.5625
318.48349682133517,318.48349682133517
301.4524118671185,301.4524118671185
259.1773592250826,259.1773592250826
248.34609308616697,248.34609308616697
247.60302168062748,247.60302168062748
244.99586776859505,244.99586776859505
244.05243036592026,244.05243036592026
241.45967073252172,241.45967073252172
240.75674768256192,240.75674768256192
241.06060606060612,241.06060606060612
241.625441696113,241.625441696113
242.22039030955594,242.22039030955594
243.3302696241986,243.3302696241986
243.40227972171684,243.40227972171684
244.00080544873867,244.00080544873867
244.29278185254714,244.29278185254714
