/ && GET,/basket.html && GET,/cart && DELETE,/cart && POST,/category.html && GET,/customers && GET,/detail.html?id={} && GET,/login && GET,avg,unknown
259.68390234711995,277.5252361615496,488.65255956267106,830.1910274083236,260.5539949468512,645.1303829714801,246.13146836920967,826.0436698249309,434.37598950675863,150.56073060204912
249.7809312312846,264.58866221483436,488.8172123073766,827.1732990671309,251.2737323432941,634.5348047186225,242.93718897589542,815.7228706259277,430.1177007070586,142.84074322245812
246.87827620243243,247.57633155973875,486.1894344215515,813.122670192136,244.8236510479776,613.1699060276748,239.70910188986684,793.8120314719965,422.9017881451812,136.07594936708892
247.76538062753704,257.4960619406467,491.243618794879,810.2118797712469,246.97350983374736,629.8819609306134,243.8055736784754,804.5205985328373,425.3044487045346,141.737492946534
247.6270541563732,248.24321661141173,490.73106198377695,804.8680293083853,242.4686973678454,609.1583500073576,241.45751180014483,790.9003088057818,418.28966764289066,135.2220797845609
245.90899101562965,244.59130928891952,487.9380097063556,798.4982091312982,239.49655103674223,594.7424684246382,239.4329587690853,790.4043928933705,412.9884081700659,126.63054420986072
246.65913082547098,243.27366421761892,487.0634003471022,774.9010679389544,236.22389226149977,577.0344497937139,237.65704624944263,788.8750429326506,406.2274210991361,124.94874948749543
242.14883502894907,242.2491811839601,480.04783520426815,762.7860633832927,231.66439753596927,554.8798174505234,231.7826908369855,754.5440372179951,396.07983502487843,114.86730591512087
245.91946042511736,240.90541545893007,477.6934084821796,773.8009806027808,228.96057964892802,550.7415424714741,229.91504357480602,750.544804171187,395.9060426335646,109.56226886732641
241.11031658217868,237.13404851980033,477.5893958167634,757.8766001917638,223.3488269226566,529.1657348293802,226.3083496289906,730.1745845384867,387.8424186020224,107.03907562490683
232.46892132559296,232.17344434275597,477.2763709952907,753.3066768692213,219.4949767960517,521.3011161208744,223.89927896350846,733.1103901291176,383.2789143582837,111.60286579902308
233.23546514518287,233.4048766669515,474.90283008438183,757.7063744417464,219.1269221012299,520.0534110255594,223.83997308256812,729.7360706640703,384.3885292401745,104.67775471576634
227.88641067075167,231.70381566417774,474.76133388334506,762.9787014133892,218.6595941780865,513.1738625882617,221.3583067670776,734.2357005821285,382.2459132428449,101.18089165389772
223.60638992752376,229.71226546219486,467.7760682366585,752.6103335878038,215.80229955165422,497.44435281514205,218.51556495984107,729.3152125129263,374.5205411311787,98.87810098414829
228.45749094046994,228.36250358116104,469.024251979561,758.0751990989651,216.33096822182836,508.79506697610736,218.8157576795097,730.7818633708357,376.7043101422879,99.01363333055258
224.59311404744295,225.2628450406954,465.7512034661206,756.8265468620029,213.8153990223513,496.9514965321541,216.94266675482734,723.6547166525211,370.7903110716116,98.63680824585109
223.84800582485155,223.79025408553525,457.77627708466105,759.7403798619505,212.2442863585212,492.57459477846567,215.47591734855533,724.3860832379481,367.5839136550399,99.34218943821335
221.98228172208928,222.53236330396965,457.99355930963304,755.0956784660278,210.46540181638125,492.03441545481394,209.78901368615692,730.1755619505834,363.73648119922865,99.52973339152948
220.51302197850362,223.62438496753327,455.95578062134973,756.7717321089492,211.25433420795184,495.6732736275598,212.47984495482842,729.262616090934,367.345873846116,99.07170502090597
215.63625417890478,220.84891847093508,447.93018298204083,755.6592767145223,210.17753186897315,493.6730930650365,210.05169812226026,711.8842219047225,363.64558925301543,98.75706606202625
214.09933165572465,222.5366803378646,452.52789963652106,759.6889607416872,208.7880496943804,491.76591377707456,211.6418564437601,707.9051119759321,365.73682475139253,99.21056706168561
222.060958343291,222.20375279001524,456.03868773718125,765.5227821632463,213.9621858600816,505.7185869669731,213.20188529636687,723.1353390859433,372.70724542604194,99.36089494164735
219.86829093214305,220.76545504723808,453.1744474091016,759.8119073892758,213.69880269077134,499.72542824780453,211.31966585235688,720.4570011417488,371.194162334964,98.53951229607247
223.6215124688621,219.99984975114575,452.43715530568556,759.3671689321451,211.8858393770097,499.0465444230031,210.8816046832813,717.9391164353409,369.84919073969087,97.36966411378894
217.85044768340327,211.31126899932468,446.47053662351533,748.7117264542078,206.40038359517627,490.820531112199,202.59889640916606,706.9604908523887,358.84328454522193,96.00011123656907
