/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg,unknown
2389.078633836378,2328.6243822075785,2341.1428571428573,2334.1463414634145,213.1501741168915,2321.4717254712423,
2396.0159362549803,2329.573420836751,2344.101123595505,2334.068627450981,215.05877135707635,2324.5426095329804,
2396.0159362549803,2329.573420836751,2344.101123595505,2334.068627450981,215.0565533635941,2324.5426095329804,
2396.006389776358,2329.5454545454545,2332.2535211267605,2334.364820846906,213.1049144385027,2321.347500603719,
2396.006389776358,2329.5454545454545,2332.2535211267605,2334.364820846906,213.1029215686275,2321.347500603719,
2389.1870560378848,2333.037156704362,2332.385321100917,2335.3833865814695,213.62903225806457,2320.89552238806,
2389.1870560378848,2333.037156704362,2332.385321100917,2335.3833865814695,213.62903225806457,2320.89552238806,
2385.0390625,2333.937198067633,2334.051329055912,2334.807073954984,208.51955307262557,2320.318772136954,
2385.0390625,2333.937198067633,2334.051329055912,2334.807073954984,208.51955307262557,2320.318772136954,
2385.0390625,2333.937198067633,2334.051329055912,2334.807073954984,208.51955307262557,2320.318772136954,
2377.0416024653314,2332.701612903226,2328.9888682745823,2336.6935483870966,207.05714285714296,2316.14730878187,
2377.0416024653314,2332.701612903226,2328.9888682745823,2336.6935483870966,207.05714285714296,2316.14730878187,
2369.272445820434,2333.1174089068827,2322.4835371589843,2337.9032258064517,202.89473684210523,2312.054631828979,
2369.272445820434,2333.1174089068827,2322.4835371589843,2337.9032258064517,202.89473684210523,2312.054631828979,
2364.2261001517454,2333.132530120482,2323.04469273743,2337.4396135265697,199.64285714285714,2311.1085016439647,
2364.2261001517454,2333.132530120482,2323.04469273743,2337.4396135265697,199.64285714285714,2311.1085016439647,
2364.3788343558285,2332.4390243902444,2324.003707136237,2336.607142857143,201.16279069767444,2310.5935209269333,
2364.3788343558285,2332.4390243902444,2324.003707136237,2336.607142857143,201.16279069767444,2310.5935209269333,
2363.993831919815,2332.9268292682927,2323.1301939058176,2336.871961102107,208.42105263157902,2310.5748757984384,
2363.993831919815,2332.9268292682927,2323.1301939058176,2336.871961102107,208.42105263157902,2310.5748757984384,
2363.993831919815,2332.9268292682927,2323.1301939058176,2336.871961102107,208.42105263157902,2310.5748757984384,
2361.8663594470045,2334.3699515347334,2309.936189608022,2336.8506493506493,211.3202247191012,2306.9010110510226,
2361.8663594470045,2334.3699515347334,2309.936189608022,2336.8506493506493,211.3202247191012,2306.9010110510226,
2362.0463320463323,2334.975570032573,2306.1874431301185,2336.6776315789475,214.50819672131144,2306.13475177305,
2362.0463320463323,2334.975570032573,2306.1874431301185,2336.6776315789475,214.50819672131144,2306.13475177305,
2364.628482972136,2335.9756097560976,2299.1803278688526,2336.633663366337,215.00000000000006,2305.0638902035025,
2364.628482972136,2335.9756097560976,2299.1803278688526,2336.633663366337,215.00000000000006,2305.0638902035025,
2364.7331786542923,2336.846339501207,2297.1153846153848,2337.9508196721313,213.828125,2305.438886267107,
2364.7331786542923,2336.846339501207,2297.1153846153848,2337.9508196721313,213.828125,2305.438886267107,
