/ && GET,/cart && GET,/cart/checkout && POST,^/product/[0-9][[:alnum:]]*$ && GET,/unknown,avg,/unknown2
917.4950930713758,615.4471544715454,879.0865384615383,4.902564102564103,713.7894771241833,747.0164609053492,
897.7638564054405,615.4471544715454,879.0865384615383,4.902564102564103,712.8359477124186,747.0164609053492,
813.65415109077,615.4471544715454,879.0865384615383,4.902564102564103,711.3346405228756,747.0164609053492,
769.5538636839844,615.4471544715454,879.0865384615383,4.902564102564103,709.8307189542485,747.0164609053492,
746.8085106382985,662.8205128205129,839.5833333333333,6.5555555555555625,674.0259740259736,725.626204238921,
746.8085106382985,662.8205128205129,839.5833333333333,6.5555555555555625,674.0259740259736,725.626204238921,
890.2912621359224,724.2514970059876,849.7142857142857,4.97974683544304,712.8205128205133,777.7246653919694,
890.2912621359224,724.2514970059876,849.7142857142857,4.97974683544304,712.8205128205133,777.7246653919694,
890.2912621359224,724.2514970059876,849.7142857142857,4.97974683544304,712.8205128205133,777.7246653919694,
890.2912621359224,724.2514970059876,849.7142857142857,4.97974683544304,712.8205128205133,777.7246653919694,
890.2912621359224,724.2514970059876,849.7142857142857,4.97974683544304,712.8205128205133,777.7246653919694,
1141.0447761194034,720.8053691275165,875.3246753246756,4.894117647058822,697.8571428571429,815.0943396226415,
1141.0447761194034,720.8053691275165,875.3246753246756,4.894117647058822,697.8571428571429,815.0943396226415,
1306.6176470588236,713.8461538461542,878.6821705426357,6.2499999999999964,683.6065573770495,829.9768518518522,
1306.6176470588236,713.8461538461542,878.6821705426357,6.2499999999999964,683.6065573770495,829.9768518518522,
1306.6176470588236,713.8461538461542,878.6821705426357,6.2499999999999964,683.6065573770495,829.9768518518522,
1306.6176470588236,713.8461538461542,878.6821705426357,6.2499999999999964,683.6065573770495,829.9768518518522,
992.9313861301252,578.5799831819996,805.5137431381293,5.327140000000003,584.3240456157953,747.5090460422412,
988.6111842663222,570.4714535122179,800.785638597154,5.268180000000021,577.064448949825,741.8057656542401,
908.9935979037546,450.82404783697734,807.3321852331555,4.985736953101462,454.01279473994043,670.2834895489005,
905.6660291861858,447.0460219850306,802.1219796885487,4.980509527289849,451.19779444022345,664.5576744223423,
902.3340277272393,443.2459345978259,796.9164409367818,4.9753617069279485,448.40219026512926,658.8072023181616,
